dev
Endpoint                        Methods  Rule                                                                 
------------------------------  -------  ---------------------------------------------------------------------
auth_bp.login                   POST     /auth/login                                                          
auth_bp.login                   GET      /auth/                                                               
auth_bp.logout                  GET      /auth/logout                                                         
comm_bp.static                  GET      /commercial/static/<path:filename>                                   
emp_bp.add_trip                 POST     /gestionnaire/trips/new                                              
emp_bp.add_trip                 GET      /gestionnaire/trips/new                                              
emp_bp.delete_trip              GET      /gestionnaire/trip/<int:voyage_id>/delete                            
emp_bp.departures               GET      /gestionnaire/trips/<int:trip_id>/departures                         
emp_bp.departures_delete        GET      /gestionnaire/trips/<int:trip_id>/departures/<int:depart_id>/delete  
emp_bp.get_voyage               POST     /gestionnaire/voyages/get                                            
emp_bp.pickup_delete            GET      /gestionnaire/trips/<int:trip_id>/pickupPoints/<int:pickup_id>/delete
emp_bp.pickups_points           GET      /gestionnaire/trips/<int:trip_id>/pickupPoints                       
emp_bp.subscriptions            GET      /gestionnaire/subscription/<int:voyage_id>                           
emp_bp.trips                    GET      /gestionnaire/trips                                                  
emp_bp.trips                    GET      /gestionnaire/trips                                                  
financial_bp.add_bus            POST     /financial/buses/new                                                 
financial_bp.add_bus            GET      /financial/buses/new                                                 
financial_bp.add_guide          POST     /financial/guides/new                                                
financial_bp.add_guide          GET      /financial/guides/new                                                
financial_bp.add_hotel          POST     /financial/hotels/new                                                
financial_bp.add_hotel          GET      /financial/hotels/new                                                
financial_bp.bookings           GET      /financial/trips/bookings/<int:trip_id>/<string:q>                   
financial_bp.buses              GET      /financial/buses                                                     
financial_bp.clients            GET      /financial/clients                                                   
financial_bp.decline_booking    GET      /financial/bookings/<int:booking_id>/decline/confirm                 
financial_bp.decline_requests   GET      /financial/bookings/decline_requests                                 
financial_bp.delete_bus         GET      /financial/buses/<int:bus_id>/delete                                 
financial_bp.delete_guide       GET      /financial/guides/<int:guide_id>/delete                              
financial_bp.delete_hotel       GET      /financial/hotels/<int:hotel_id>/delete                              
financial_bp.delete_trip        POST     /financial/trips/<int:trip_id>/delete                                
financial_bp.edit_config        POST     /financial/config/edit                                               
financial_bp.edit_config        GET      /financial/config/edit                                               
financial_bp.get_booking        GET      /financial/bookings/<int:booking_id>                                 
financial_bp.get_bus            GET      /financial/buses/<int:bus_id>/view                                   
financial_bp.get_guide          GET      /financial/guides/<int:guide_id>/view                                
financial_bp.get_hotel          GET      /financial/hotels/<int:hotel_id>/view                                
financial_bp.get_trip           GET      /financial/trips/get                                                 
financial_bp.guides             GET      /financial/guides                                                    
financial_bp.hotel_detail       GET      /financial/hotels/<int:hotel_id>                                     
financial_bp.hotels             GET      /financial/hotels                                                    
financial_bp.index              GET      /financial/dashboard                                                 
financial_bp.index              GET      /financial/                                                          
financial_bp.invoices           GET      /financial/invoices                                                  
financial_bp.supplier_payments  POST     /financial/supplier/payment                                          
financial_bp.supplier_payments  GET      /financial/supplier/payment                                          
financial_bp.trips              GET      /financial/trips                                                     
index                           GET      /                                                                    
static                          GET      /static/<path:filename>                                              
